model_id,model_family,model_size_label,identity_frame,concept_axis,injection_site,layer_index,layer_bucket,vector_kind,alpha,axis_shift_mean,peak_displacement_mean,total_downstream_change_mean,end_of_pass_distance_mean,recovery_fraction_mean,next_token_kl_mean,next_token_js_mean,n
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,9,late,mean_diff,-1.0,0.015434161010107136,0.34433791041374207,32.64256453514099,0.04143579676747322,0.017355928797812566,0.07971438858658075,0.019523710943758488,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,9,late,mean_diff,1.0,0.0,0.5504674166440964,41.42168736457825,0.0446432176977396,0.27234838512321385,0.09086894616484642,0.022064408287405968,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,9,late,random_orthogonal,-1.0,0.02068807554816727,0.8490662425756454,85.78053569793701,0.11699995398521423,0.0,0.43578358739614487,0.09902544505894184,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,last_prompt,9,late,random_orthogonal,1.0,0.013150705852837535,0.8602124154567719,87.18918704986572,0.11964853666722775,0.0,0.468659445643425,0.10311645455658436,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,2,early,label_shuffled,-1.0,-0.00219157331882133,0.5948381274938583,79.45733559131622,0.06261274591088295,0.0038062348334879583,0.041332812048494816,0.010810618638060987,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,2,early,label_shuffled,1.0,0.01020182793276406,0.6432696729898453,80.83361375331879,0.06664539035409689,0.0,0.043644961318932474,0.010999840447766474,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,2,early,mean_diff,-1.0,0.0023191698032689902,3.9922103583812714,495.9314694404602,0.1881958544254303,0.2571839394353095,3.0293831527233124,0.5173989981412888,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,2,early,mean_diff,1.0,0.015391095256930923,0.43178771436214447,52.94245684146881,0.03718387335538864,0.0434356140451268,0.026844363834243268,0.006463713991252007,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,2,early,random_orthogonal,-1.0,0.011133957888847492,0.6276109516620636,97.70195460319519,0.08694412279874086,0.0,0.14637459628283978,0.04094940237700939,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,2,early,random_orthogonal,1.0,-0.006159590041763656,0.6168475300073624,101.97683036327362,0.08789340406656265,0.0,0.10767732560634613,0.029055068269371986,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,9,late,label_shuffled,-1.0,0.05214545769524702,1.0642970353364944,104.04741191864014,0.17925116419792175,0.0,1.3568253815174103,0.31577974930405617,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,9,late,label_shuffled,1.0,0.011921717330760341,1.0294981896877289,108.15736293792725,0.2004924938082695,0.0,3.917788326740265,0.45167575776576996,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,9,late,mean_diff,-1.0,0.0008785461942942187,0.5529797375202179,52.04717135429382,0.09468281082808971,0.004249443545418962,0.07574194905464537,0.018327272511669435,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,9,late,mean_diff,1.0,0.0018472021158877205,0.5460715964436531,46.9495370388031,0.07917513139545918,0.0659376579744852,0.057736953254789114,0.015320406411774457,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,9,late,random_orthogonal,-1.0,0.0020764930680511433,1.0297389477491379,104.433265209198,0.1869552657008171,0.0,1.7963542193174362,0.3710658438503742,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,expansive_vs_terse,first_generated,9,late,random_orthogonal,1.0,0.018076932572771105,1.0576603561639786,105.85314798355103,0.18426265381276608,0.0,1.2596170827746391,0.3048695847392082,4
